2009-12-11 06:28:15 Notice: Notice (8): Undefined variable: comment_author in [/home/lunks/www/apps/blog/views/layouts/default.ctp, line 94]
2009-12-11 06:33:38 Notice: Notice (8): Undefined variable: comment_author_email in [/home/lunks/www/apps/blog/views/layouts/default.ctp, line 97]
2009-12-11 06:33:51 Notice: Notice (8): Undefined variable: comment_author_email in [/home/lunks/www/apps/blog/views/layouts/default.ctp, line 97]
2009-12-11 06:34:23 Notice: Notice (8): Undefined variable: comment_author_url in [/home/lunks/www/apps/blog/views/layouts/default.ctp, line 101]
2010-01-09 02:39:24 Notice: Notice (8): Undefined variable: content_for_layout in [/home/lunks/www/apps/blog/views/posts/index.ctp, line 9]
2010-01-09 02:40:12 Notice: Notice (8): Undefined variable: content_for_layout in [/home/lunks/www/apps/blog/views/posts/index.ctp, line 9]
2010-01-09 02:56:54 Notice: Notice (8): Undefined index:  id in [/home/lunks/www/apps/blog/views/posts/index.ctp, line 4]
2010-01-09 03:04:00 Notice: Notice (8): Undefined property: View::$url in [/home/lunks/www/apps/blog/views/posts/index.ctp, line 8]
2010-01-09 03:04:10 Notice: Notice (8): Undefined property: View::$index in [/home/lunks/www/apps/blog/views/posts/index.ctp, line 8]
2010-01-09 03:05:44 Notice: Notice (8): Undefined property: View::$controller in [/home/lunks/www/apps/blog/views/posts/index.ctp, line 8]
2010-01-09 03:09:38 Notice: Notice (8): Undefined property: View::$Date in [/home/lunks/www/apps/blog/views/posts/index.ctp, line 7]
2010-01-09 03:10:13 Notice: Notice (8): Undefined property: View::$Time in [/home/lunks/www/apps/blog/views/posts/index.ctp, line 7]
2010-01-09 03:10:20 Notice: Notice (8): Undefined property: View::$controller in [/home/lunks/www/apps/blog/views/posts/index.ctp, line 8]
2010-01-09 03:25:28 Notice: Notice (8): Undefined variable: date in [/home/lunks/www/cakes/1.3.x.x/cake/libs/view/helpers/time.php, line 542]
